"","portfolio.returns"
"2010-09-14",-0.0140717935667682
"2010-09-15",-0.0218423388157537
"2010-09-16",-0.00154161848775058
"2010-09-17",-0.00944762284623368
"2010-09-20",-0.000481309604259739
"2010-09-21",0.0240057926500623
"2010-09-27",-0.00137710350193909
"2010-09-28",-0.0119587503286676
"2010-09-29",0.0132377386016445
"2010-09-30",0.0237847837391449
"2010-10-08",0.00384325593100021
"2010-10-11",0.00389424914658409
"2010-10-12",0.00758641493470913
"2010-10-13",-0.0279131892837873
"2010-10-14",0.00113771284607922
"2010-10-15",-0.0103252775598016
"2010-10-18",0.0237369197065129
"2010-10-19",0.00340367629836158
"2010-10-20",0.00297814993606527
"2010-10-21",0.00676600138560701
"2010-10-22",0.0207028709077974
"2010-10-25",0.00599273492597963
"2010-10-26",-0.00854459186419954
"2010-10-27",0.0036437426669258
"2010-10-28",0.0121531044689669
"2010-10-29",0.0185679390333398
"2010-11-01",-0.00382448708613092
"2010-11-02",-0.00834488946032652
"2010-11-03",0.0253032803133604
"2010-11-04",0.0108305397312458
"2010-11-05",0.0184410931753722
"2010-11-08",4.30165085258949e-05
"2010-11-09",0.00470497244172696
"2010-11-10",-0.00981942278519932
"2010-11-11",-0.0461872719892589
"2010-11-12",0.0172335930903555
"2010-11-15",-0.0296572434238891
"2010-11-16",-0.0277165878508033
"2010-11-17",0.0121936729015879
"2010-11-18",0.0219657347285764
"2010-11-19",0.0114744384564207
"2010-11-22",-0.0122931684470075
"2010-11-23",0.0253170422911355
"2010-11-24",-0.00204934990066707
"2010-11-26",0.00342536008512506
"2010-11-29",-0.0132614297081709
"2010-11-30",0.00159938901818646
"2010-12-01",0.0028414657074558
"2010-12-02",-0.00159348352978927
"2010-12-03",-0.0114795433077505
"2010-12-06",0.00518080073195137
"2010-12-07",-0.00267983540752159
"2010-12-08",-0.0147377052829357
"2010-12-09",0.0100445356713676
"2010-12-10",0.0239998952206457
"2010-12-13",0.00770254946284332
"2010-12-14",-0.00457174056794729
"2010-12-15",-0.00297131280426377
"2010-12-16",0.00159159283768573
"2010-12-17",-0.00723953405152444
"2010-12-20",0.00908817158932007
"2010-12-21",-0.00764734525957855
"2010-12-22",-0.0175618004562765
"2010-12-23",-0.0495621729630457
"2010-12-28",0.0156198964763432
"2010-12-29",0.00205697490174295
"2010-12-30",0.0205547442763145
"2010-12-31",0.00859041286851991
"2011-01-04",0.00264522797937672
"2011-01-05",-0.00531475725199149
"2011-01-06",-0.00482967062208428
"2011-01-07",-0.0263305987956313
"2011-01-10",-0.00428392832016555
"2011-01-11",0.00590677797073313
"2011-01-12",-0.00150133330143709
"2011-01-13",-0.021242589516869
"2011-01-14",-0.0387539636565395
"2011-01-18",0.0240535510091129
"2011-01-19",-0.0363165585139116
"2011-01-20",0.00646809678526528
"2011-01-21",-0.0239263966964834
"2011-01-24",-0.0128657491226142
"2011-01-25",0.0191114047969618
"2011-01-26",0.0176094776050393
"2011-01-27",0.0100825922465508
"2011-01-28",0.0137746502706888
"2011-01-31",0.00427685948723289
"2011-02-01",-0.00450483558160608
"2011-02-09",0.0255134929648915
"2011-02-10",0.0102599023747434
"2011-02-11",0.0172676235300466
"2011-02-14",-0.000205253838083452
"2011-02-15",0.0159753179799282
"2011-02-16",0.00678922377891999
"2011-02-17",-0.00818885272254033
"2011-02-18",-0.00526419956087809
"2011-02-22",0.0133023039827986
"2011-02-23",0.00763664265205288
"2011-02-24",0.0014902831014636
"2011-02-25",0.0110059470095054
"2011-02-28",0.00623399657281243
"2011-03-01",-0.0018410171858404
"2011-03-02",-0.0183115023280745
"2011-03-03",0.0114947508013856
"2011-03-04",0.0119560083065426
"2011-03-07",0.0040190061569545
"2011-03-08",0.002853375665818
"2011-03-09",-0.00754102130286394
"2011-03-10",-0.000364022470384029
"2011-03-11",0.00833997782908535
"2011-03-14",-0.0118868113288707
"2011-03-15",0.0115943770442304
"2011-03-16",-0.0153791044223515
"2011-03-17",0.0046681135340445
"2011-03-18",-0.00649324420230379
"2011-03-21",-0.000181382553464893
"2011-03-22",0.0128007067844156
"2011-03-23",0.00194924461070856
"2011-03-24",0.00705107693028451
