"","portfolio.returns","zz.500","hs.300"
"2008-07-03",-0.00143004136370972,0.0463462602239026,0.0225996445535157
"2008-07-07",0.00825961423107135,0.0521261120127485,0.0442474670816855
"2008-07-08",0.00410279224217569,0.0153383845843345,0.00661865661519001
"2008-07-09",0.00263525823765498,0.0266777412124315,0.0390407469187057
"2008-07-10",-0.00628738546190299,-0.0228321675301479,-0.0137307505949902
"2008-07-11",0.0112487348494081,-0.00626806200085339,-0.00680290455010846
"2008-07-14",-0.010615012644931,0.0209465873902832,0.0075740648319953
"2008-07-15",-0.010615012644931,-0.0287710852453466,-0.0412954871744904
"2008-07-16",0.0157126516806076,-0.0507994969052391,-0.0376378384800569
"2008-07-17",0.00444531676016191,-0.0102288261461503,-0.0100269520451429
"2008-07-18",0.0115688797752274,0.0333850751046294,0.0358305717740233
"2008-07-21",0.00225429613056005,0.0410206246810028,0.0339518230659115
"2008-07-22",-0.0075335375447706,0.00334447038189767,-0.00216760339113153
"2008-07-23",-0.00794860918544815,-0.00867298812354644,-0.00737415338616265
"2008-07-24",0.00170577136353933,0.0249944760879237,0.0326151793872889
"2008-07-25",-0.00655716220305336,-0.00892606097326787,-0.0128167236803487
"2008-07-28",0.00258107373615801,0.0137697543441677,0.00736594975959259
"2008-07-29",0.00141864952373649,-0.0204767019774533,-0.0186500494453072
"2008-07-30",-0.0106150126449309,-0.00546984057098032,-0.00731338869416254
"2008-07-31",-0.00153334063177391,-0.0368842915073646,-0.0274478388481105
"2008-08-01",-0.00910291211925085,0.0154413667282356,0.012683542128844
"2008-08-04",0.027538523301577,-0.0240354323503402,-0.0238102788118856
"2008-08-05",-0.0141641717060261,-0.0309146305134878,-0.0252672941872153
"2008-08-07",0.0231516422399549,0.0089794425434464,0.00642230261091803
"2008-08-08",0.00676456307170348,-0.0724377939898341,-0.047411447763807
"2008-08-11",-0.0120055726121105,-0.0749900441055307,-0.0519591278240957
"2008-08-12",-0.00320391097691219,-0.014019828201413,-0.00515302275862206
"2008-08-13",0.00550299635378804,-0.000452813527660689,0.000212753029144475
"2008-08-14",0.00374868458195743,0.00461108946455813,-0.000474502902797935
"2008-08-15",-0.0150050072428101,-0.0040181977419107,0.00167791469828571
