"","open","high","low","close"
"1992-05-04",454.86,456.24,445.38,453.62
"1992-05-11",483.29,491.5,468.11,491.5
"1992-05-18",560.09,571.85,544.35,571.82
"1992-05-25",1411.98,1428.79,1339.99,1421.57
"1992-06-01",1175.69,1249.58,1129.28,1183.24
"1992-06-08",1092.07,1121.41,1085.19,1093.46
"1992-06-15",1174.41,1181.86,1152.69,1171.85
"1992-06-22",1173.68,1180.21,1165.74,1169.9
"1992-06-29",1168.89,1173.49,1156.68,1169.51
"1992-07-06",1197.76,1215.24,1190.27,1201.01
"1992-07-13",1156.83,1198.9,1131.21,1136.33
"1992-07-20",1100.6,1126.96,1094.81,1098.82
"1992-07-27",1169.42,1178.81,1108.05,1149.33
"1992-08-03",1034.7,1060.36,1026.83,1031.55
"1992-08-10",992.73,1006.64,956.55,964.09
"1992-08-17",898.66,940.76,858.38,939.46
"1992-08-24",888.95,920.85,881.33,884.1
"1992-08-31",833.5,848.4,823.02,823.27
"1992-09-07",745.69,788.15,700.79,702.83
"1992-09-14",762.82,793.36,714.93,734.98
"1992-09-21",740.97,760.13,730.3,733.44
"1992-09-28",724.45,729.79,721.19,724.7
"1992-10-05",676.47,702.32,668.9,679.62
"1992-10-12",687.45,713.77,661.99,690.57
"1992-10-19",643.8,667.46,632.4,632.4
"1992-10-26",539.5,561.5,504.81,506.94
"1992-11-02",471.18,508.81,465.55,477.61
"1992-11-09",439.81,459.04,424.68,428.61
"1992-11-16",402.02,415.64,397.63,399.32
"1992-11-23",404.05,410.57,401.82,410.39
"1992-11-30",682.08,727.13,637.67,724.6
"1992-12-07",765.87,803.12,757.34,793.25
"1992-12-14",741.06,748.19,668.07,705.07
"1992-12-21",709.87,731.68,697.7,731.68
"1992-12-28",764.43,772.29,756.89,757.31
"1993-01-04",784.13,816.64,777.16,814.04
"1993-01-11",913.44,977.42,901.47,977.42
"1993-01-18",1067.98,1078.03,1052.8,1055.32
"1993-01-22",1074.36,1109.59,1073.64,1100.31
"1993-02-01",1242.35,1278.5,1222.18,1278.5
"1993-02-08",1339.59,1393.34,1334.19,1393.17
"1993-02-15",1544.1,1544.1,1499.1,1536.82
"1993-02-22",1487.84,1527.13,1453.31,1456.29
"1993-03-01",1328.22,1339.1,1199.73,1199.73
"1993-03-08",1133.52,1325.49,1133.46,1209.65
"1993-03-15",1226.66,1241.04,1171.73,1171.73
"1993-03-22",1148.29,1179.05,1036.92,1036.92
"1993-03-29",1008.4,1047.88,961.49,970.45
"1993-04-05",945.58,947.9,924.49,947.87
"1993-04-12",1254.62,1276.41,1195.57,1203.54
"1993-04-19",1203.85,1241.86,1185.76,1223.22
"1993-04-26",1298.92,1345.73,1282.54,1345.61
"1993-05-03",1365.15,1380.5,1349.98,1352.24
"1993-05-10",1216.72,1221.98,1110.94,1128.29
"1993-05-17",1162.07,1162.07,1097.61,1140.04
"1993-05-24",1136.29,1143.97,1024.69,1026.13
"1993-05-31",975.05,980.03,930.64,935.48
"1993-06-07",1006.26,1068.84,982.03,1064.98
"1993-06-14",1046.07,1046.07,990.16,1000.43
"1993-06-21",1003.98,1003.98,967.74,977.61
"1993-06-28",1006.63,1010.52,983.97,1002.42
"1993-07-05",976.67,980.92,946.87,952.31
"1993-07-12",855.5,855.5,828.55,845.52
"1993-07-19",846.87,849.04,836.71,836.98
"1993-07-26",810.07,810.07,787.8,787.81
"1993-08-02",885.31,913.15,842.35,843.27
"1993-08-09",866.65,887.45,861.34,885.27
"1993-08-16",969.9,1023.87,967.35,1023.87
"1993-08-23",933.72,937.3,888.68,893.23
"1993-08-30",901.09,911.18,884.51,899.27
"1993-09-06",940.46,947.53,933.74,947.53
"1993-09-13",895.62,895.62,873.55,879.24
"1993-09-20",875.97,878.23,865.74,875
"1993-09-27",876.61,884.3,876.39,880.98
"1993-10-04",895.69,901.37,891.33,892.55
"1993-10-11",872.95,879.68,866.93,868.38
"1993-10-18",852.82,852.82,835.25,835.25
"1993-10-25",792.78,797.48,774.54,784.97
"1993-11-01",801.86,823.25,801.86,816.71
"1993-11-08",833.26,836.99,819.09,836.99
"1993-11-15",875.8,893.42,875.8,890.46
"1993-11-22",924.67,954.35,898.49,949.77
"1993-11-29",968.44,974.85,956.34,972.96
"1993-12-06",986.12,1004.01,979.72,995.72
"1993-12-13",982.38,982.38,947.83,950.77
"1993-12-20",823.77,836.04,750.46,783.79
"1993-12-27",841.49,843.97,837.83,839.9
"1994-01-03",837.7,840.65,831.66,833.9
"1994-01-10",891.99,900.3,889.73,900.3
"1994-01-17",861.34,868.88,856.5,859.28
"1994-01-24",830.16,839.2,824.42,839.2
"1994-01-31",781.54,781.74,760.78,770.25
"1994-02-04",784.06,797.88,782.34,797.86
"1994-02-14",813.95,818.57,779.09,779.91
"1994-02-21",769.94,769.94,752.62,754.41
"1994-02-28",785.82,795.2,770.98,770.98
"1994-03-07",718.35,718.79,714.05,718.4
"1994-03-14",774.77,788.42,751.2,788.42
"1994-03-21",755.86,757.55,731.05,731.62
"1994-03-28",702.42,709.19,696.52,702.23
"1994-04-04",698.19,700.21,692.51,694.38
"1994-04-11",668.85,670.27,657.1,659.05
"1994-04-18",619.51,619.53,597.73,604.15
"1994-04-25",566.63,572.39,555.76,560.8
"1994-04-29",598.35,610.95,585.77,592.56
"1994-05-09",587.94,588.38,576.94,581.7
"1994-05-16",597.12,597.12,588.48,592.57
"1994-05-23",594.52,597.15,586.39,587.65
"1994-05-30",565.63,565.87,543.19,544.26
"1994-06-06",549.03,549.66,540.99,542.97
"1994-06-13",505.54,505.68,491.61,492.03
