"","zz.500","zz.500.1"
"2010-09-14",0,0.00328413697798413
"2010-09-15",-0.0156656442964354,-0.0156656442964354
"2010-09-16",0,-0.0252043280624437
"2010-09-17",0,-0.00161139151801226
"2010-09-20",-0.0109416991584917,-0.0109416991584917
"2010-09-21",-0.00140562953606715,-0.00140562953606715
"2010-09-27",0.0279058312427714,0.0279058312427714
"2010-09-28",-0.00411888093404233,-0.00411888093404233
"2010-09-29",-0.013757022665656,-0.013757022665656
"2010-09-30",0.0153126578534994,0.0153126578534994
"2010-10-08",0.0230356114681856,0.0230356114681856
"2010-10-11",0.00444214236882789,0.00444214236882789
"2010-10-12",0.00352463357546351,0.00352463357546351
"2010-10-13",0.00638988939521079,0.00638988939521079
"2010-10-14",-0.03249916268582,-0.03249916268582
"2010-10-15",0.00254297907013745,0.00254297907013745
"2010-10-18",-0.0116829552090801,-0.0116829552090801
"2010-10-19",0.030619155900883,0.030619155900883
"2010-10-20",0.00326036224632542,0.00326036224632542
"2010-10-21",0.00826208355303293,0.00826208355303293
"2010-10-22",0.0091294635223631,0.0091294635223631
"2010-10-25",0.0247174522098121,0.0247174522098121
"2010-10-26",0.00953285922032898,0.00953285922032898
"2010-10-27",-0.0101820193490378,-0.0101820193490378
"2010-10-28",0.000965009245388337,0.000965009245388337
"2010-10-29",0.0111809167001491,0.0111809167001491
"2010-11-01",0.0284898203184469,0.0284898203184469
"2010-11-02",-0.00508700876725365,-0.00508700876725365
"2010-11-03",-0.0144073048797697,-0.0144073048797697
"2010-11-04",0.0254504224796794,0.0254504224796794
"2010-11-05",0.0159650366713435,0.0159650366713435
"2010-11-08",0,0.0224633221270001
"2010-11-09",0,0.00676659778333
"2010-11-10",0,0.00309079968605408
"2010-11-11",0,-0.00813894580596075
"2010-11-12",0,-0.0604602855560984
"2010-11-15",0,0.0281891301086512
"2010-11-16",0,-0.0355471740341068
"2010-11-17",0,-0.0419476530118749
"2010-11-18",0,0.0157644904115044
"2010-11-19",0,0.0301334030616429
"2010-11-22",0.0137058824663525,0.0137058824663525
"2010-11-23",-0.0169744900767872,-0.0169744900767872
"2010-11-24",0.028225010020811,0.028225010020811
"2010-11-26",0.00412973072851508,0.00412973072851508
"2010-11-29",0.00403623053936086,0.00403623053936086
"2010-11-30",-0.0262672066319474,-0.0262672066319474
"2010-12-01",0.00116613977351965,0.00116613977351965
"2010-12-02",0.00423112701646589,0.00423112701646589
"2010-12-03",-0.00741852144358857,-0.00741852144358857
"2010-12-06",-0.0164380229973314,-0.0164380229973314
"2010-12-07",0.0135651535204415,0.0135651535204415
"2010-12-08",-0.00287339367443151,-0.00287339367443151
"2010-12-09",-0.020723989091979,-0.020723989091979
"2010-12-10",0.0149590127256427,0.0149590127256427
"2010-12-13",0.0277525859558694,0.0277525859558694
"2010-12-14",0.0125544989661721,0.0125544989661721
"2010-12-15",-0.00254765389299649,-0.00254765389299649
"2010-12-16",-0.00264401592861863,-0.00264401592861863
"2010-12-17",0.00220247870149159,0.00220247870149159
"2010-12-20",0,-0.0123959040707431
"2010-12-21",0,0.0114766450987627
"2010-12-22",0,-0.00923835769646975
"2010-12-23",0,-0.0202955232793995
"2010-12-28",0,-0.0668741813836378
"2010-12-29",0,0.017340661500691
"2010-12-30",0,0.00331634242928391
"2010-12-31",0.02241487516052,0.02241487516052
"2011-01-04",0.0151477092497287,0.0151477092497287
"2011-01-05",0.00344607407820141,0.00344607407820141
"2011-01-06",-0.00546654489857368,-0.00546654489857368
"2011-01-07",-0.00522666188475907,-0.00522666188475907
"2011-01-10",-0.0290604889624427,-0.0290604889624427
"2011-01-11",0,-0.00532857525661812
"2011-01-12",0,0.00598565633274872
"2011-01-13",0,-0.00141096251511275
"2011-01-14",0,-0.0214077352791681
"2011-01-18",0,-0.0394776672932254
"2011-01-19",0,0.0240535510091129
"2011-01-20",0,-0.0363165585139116
"2011-01-21",0,0.00646809678526528
"2011-01-24",0,-0.0239263966964834
"2011-01-25",-0.0128657491226142,-0.0128657491226142
"2011-01-26",0.0191114047969618,0.0191114047969618
"2011-01-27",0.0176094776050393,0.0176094776050393
"2011-01-28",0.0100825922465508,0.0100825922465508
"2011-01-31",0.0137746502706888,0.0137746502706888
"2011-02-01",0.00427685948723289,0.00427685948723289
"2011-02-09",-0.00450483558160608,-0.00450483558160608
"2011-02-10",0.0269539147009836,0.0269539147009836
"2011-02-11",0.0111618793635708,0.0111618793635708
"2011-02-14",0.017901274121787,0.017901274121787
"2011-02-15",-0.000576705722763249,-0.000576705722763249
"2011-02-16",0.0170400989797674,0.0170400989797674
"2011-02-17",0.00702853175922002,0.00702853175922002
"2011-02-18",-0.00923311988452447,-0.00923311988452447
"2011-02-22",-0.00641109957480201,-0.00641109957480201
"2011-02-23",0.0141168084634793,0.0141168084634793
"2011-02-24",0.0097749379312122,0.0097749379312122
"2011-02-25",0.0010084069514591,0.0010084069514591
"2011-02-28",0.0124006515602342,0.0124006515602342
"2011-03-01",0.00534423558896369,0.00534423558896369
"2011-03-02",-0.00267450708933303,-0.00267450708933303
"2011-03-03",-0.0195136180074388,-0.0195136180074388
"2011-03-04",0.0116928365910896,0.0116928365910896
"2011-03-07",0.0139375088976761,0.0139375088976761
"2011-03-08",0.00534812460659051,0.00534812460659051
"2011-03-09",0.00302764516013876,0.00302764516013876
"2011-03-10",-0.0073262477322138,-0.0073262477322138
"2011-03-11",-0.00071158992786835,-0.00071158992786835
"2011-03-14",0.00978452292456944,0.00978452292456944
"2011-03-15",-0.0113120519039799,-0.0113120519039799
